name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Astera Tuhina,Oregon,300,20,90,19,44,2,17,13,204,10.2
Shaelyn Steele,Penn State,285,20,47,63,30,1,30,2,204,10.2
T'yana Todd,Ohio State,318,21,112,30,12,1,12,17,197,9.380952380952381
Layla Hays,Iowa,224,20,98,57,12,7,7,0,195,9.75
Aaliyah Guyton,Illinois,284,16,98,33,37,0,9,9,195,12.1875
Finau Tonga,Minnesota,250,20,99,62,16,2,5,0,191,9.55
Devin Coppinger,Washington,354,19,83,52,15,3,11,10,188,9.894736842105264
Mir McLean,Maryland,238,20,62,69,12,4,18,0,187,9.35
Avary Cain,Oregon,315,22,89,25,18,3,12,20,182,8.272727272727273
Nyla McFadden,Penn State,239,20,75,45,19,2,14,7,178,8.9
Lety Vasconcelos,Illinois,228,20,72,61,11,12,3,0,174,8.7
Theryn Hallock,Michigan State,169,8,85,13,22,2,18,11,171,21.375
Lily Krahn,Wisconsin,285,21,97,13,10,2,10,26,170,8.095238095238095
Ines Sotelo,Michigan State,262,11,68,36,16,8,14,4,168,15.272727272727273
Sienna Harvey,Washington,235,18,96,39,17,0,4,6,166,9.222222222222221
Marah Dykstra,Michigan State,252,19,62,37,17,7,12,12,166,8.736842105263158
Breanna Williams,Maryland,167,16,88,51,8,1,6,4,165,10.3125
Makena Christian,Minnesota,256,20,87,26,12,0,10,19,164,8.2
Laura Williams,USC,207,19,47,58,7,22,3,0,162,8.526315789473685
Vivian Iwuchukwu,USC,224,20,72,54,8,1,9,0,154,7.7
Dayana Mendes,USC,268,20,50,57,17,5,6,6,152,7.6
Gerda Raulusaityte,USC,309,20,56,64,14,4,5,0,152,7.6
Claire Johnson,Nebraska,231,20,81,24,21,1,8,7,151,7.55
Avery Gordon,Purdue,147,17,78,36,3,11,5,0,149,8.764705882352942
Kaylene Smikle,Maryland,123,7,92,27,11,1,5,7,149,21.285714285714285
Kennadi Williams,Nebraska,282,20,54,16,47,1,10,7,146,7.3
Sienna Betts,UCLA,149,10,71,38,14,4,7,1,146,14.6
Janae Walker,Rutgers,303,19,54,65,8,6,3,0,145,7.631578947368421
Shayla Smith,Penn State,186,16,51,48,15,1,12,2,142,8.875
Amiya Evans,Penn State,207,16,33,67,8,10,7,0,142,8.875
Lena Bilic,UCLA,264,17,65,30,13,5,6,10,140,8.235294117647058
Alyssa Crockett,Michigan,173,17,60,32,9,4,10,11,140,8.235294117647058
Teagan Brown,Washington,305,19,40,39,9,2,20,1,133,7.0
McKenzie Mathurin,Michigan,169,14,71,16,8,3,10,11,132,9.428571428571429
Macy Brown,Michigan,224,18,45,27,23,3,10,8,129,7.166666666666667
Ella Hobbs,Ohio State,155,19,51,48,8,3,4,7,128,6.7368421052631575
Dasha Biriuk,Ohio State,132,14,61,22,7,3,7,11,121,8.642857142857142
Vitoria Santana,Penn State,244,20,48,24,17,1,9,11,120,6.0
McKenna Layden,Purdue,260,18,42,28,21,1,6,13,118,6.555555555555555
Saige Stahl,Purdue,192,16,27,58,8,1,11,0,117,7.3125
Valentyna Kadlecova,Indiana,239,11,59,21,5,3,6,12,115,10.454545454545455
Janiyah Williams,Oregon,153,19,61,14,4,1,9,8,107,5.631578947368421
Niamya Holloway,Minnesota,131,18,36,42,4,2,10,1,107,5.944444444444445
Jerni Kiaku,Indiana,193,17,43,30,18,0,6,2,105,6.176470588235294
Lauryn Swann,Rutgers,111,6,49,16,8,1,10,8,103,17.166666666666668
Amanda Muse,UCLA,217,18,34,37,10,5,5,0,101,5.611111111111111
Yakiya Milton,USC,97,12,33,41,2,8,3,0,98,8.166666666666666
Abbey Kimball,Michigan State,114,12,43,14,10,3,6,11,96,8.0
Maggie Mendelson,Penn State,167,11,23,33,11,8,5,2,95,8.636363636363637
Amy Terrian,Michigan State,121,13,44,10,17,0,4,14,93,7.153846153846154
Phoenix Stotijn,Indiana,292,20,42,15,21,3,2,4,92,4.6
DaiJa Turner,Northwestern,196,19,15,35,2,12,8,0,92,4.842105263157895
Jovana Spasovski,Wisconsin,162,19,54,24,6,1,2,1,91,4.7894736842105265
Taylor Feldman,Purdue,117,7,44,17,14,2,2,8,91,13.0
Rainey Welson,Maryland,174,15,48,9,7,0,6,10,86,5.733333333333333
Seini Henry,Ohio State,98,13,32,34,4,3,4,1,85,6.538461538461538
Rachael Okokoh,Penn State,119,19,28,28,2,6,5,0,80,4.2105263157894735
Chloe Briggs,Washington,175,16,30,28,11,0,3,3,78,4.875
Emely Rodriguez,Iowa,86,6,43,12,10,1,4,1,76,12.666666666666666
Emily Fisher,Nebraska,91,12,20,21,8,2,8,0,69,5.75
Kennedy Klick,Minnesota,94,12,27,12,16,0,5,2,67,5.583333333333333
Angelina Hodgens,Northwestern,100,15,27,15,6,0,6,3,63,4.2
Lea Bartelme,Maryland,80,4,27,12,15,0,3,3,63,15.75
Irene Noya Catoira,Illinois,82,12,21,20,5,3,5,0,62,5.166666666666667
Sara Sambolic,Michigan State,108,11,30,16,3,0,4,3,60,5.454545454545454
Olivia Anderson,Washington,44,8,17,11,2,10,2,1,55,6.875
Claire Keswick,Northwestern,131,16,29,2,9,1,2,9,55,3.4375
Ally VanTimmeren,Michigan,74,14,26,18,4,2,1,0,54,3.857142857142857
Callie Levin,Iowa,80,11,19,11,7,0,5,1,48,4.363636363636363
Jade Ondineme,Indiana,87,12,12,24,2,2,3,0,48,4.0
Elisa Mevius,Oregon,44,2,25,3,6,1,5,1,47,23.5
Yacine N'Diaye,Rutgers,101,11,12,20,3,2,4,0,47,4.2727272727272725
Filippa Tilliander,Oregon,83,15,12,26,4,0,2,0,46,3.066666666666667
Ava McKennie,Maryland,72,7,26,9,1,1,2,2,44,6.285714285714286
Ciara Byars,Michigan,45,11,24,13,2,1,1,0,43,3.909090909090909
Jessica Fields,Michigan,45,12,16,10,3,3,4,0,43,3.5833333333333335
Nikki Kerstein,Wisconsin,136,16,11,7,14,0,3,1,39,2.4375
Rian Forestier,USC,63,9,20,6,6,0,1,5,39,4.333333333333333
Shayla Gillmer,Washington,58,9,8,13,1,3,4,0,36,4.0
